00	1751
001	1110
00568	702
007	3764
007.com	761
01	2396
02	1440
03	1580
04	1228
05	3920
06	21189
06-040	641
07	2789
08	1200
1.0	2927
1.08	973
1.1	775
1.10	887
1.2	736
1.20	778
1.3	1020
1.4	885
1.5	6046
1.6	6049
1.7	1227
1.75	3047
1.8	1818
1.85	778
10	14481
10.0	751
100	11730
100.com	761
1000	4745
10000	3097
101	1384
1024	699
104	605
108	949
10qq	1045
11	10025
110	2767
110.com	900
111	842
112	513
114	1636
118	947
1188	1080
1188dy	791
12	7270
120	2391
1200	1956
123	38439
123.com	11083
12333	962
125	1953
12530	6117
12530.com	1290
126	28627
126.com	12165
128	1681
13	3016
138	692
139	2373
139.com	599
14	2843
15	3430
150	1584
16	5295
160	1511
1600	748
163	55319
163.	576
163.com	21375
163.com.	1441
163.net	699
165	1204
165.com	557
168	5806
168.com	1718
17	4823
170	680
17173	4269
17173.com	1874
173	528
176	3054
178	655
18	74540
18.com	3167
180	695
183	19413
183club	14801
1860	984
188	822
18dy	22115
18dy.com	5670
18girl	2546
18girls	626
18huang	713
18ok	1070
18p2p	510
19	4312
1937	863
1995	785
1996	782
1997	988
1998	885
1999	1143
1g	581
2-	549
2.0	6257
2.1	764
2.2	612
2.4	683
2.5	1735
2.8	667
20	5965
200	3222
2000	14719
2001	2559
2002	6298
2003	15956
2004	12697
2005	38830
2006	183907
20061	553
2006qq	1249
2007	10198
2008	6013
2009	24745
2020	1115
2046	653
206	1428
21	9373
211	627
214	1844
21cn	988
21cn.com	1396
22	3804
220	3616
222	664
23	4693
230	556
234	557
24	4204
240	1204
247	707
25	3845
250	1601
253888	1732
253888.com	796
256	776
258	587
26	1735
263	3485
265	4014
265.com	1315
27	1603
28	1650
281	525
29	1717
2p	1838
3.	875
3.0	3965
3.1	1602
3.2	597
3.5	672
3.com	601
30	5815
300	3354
3000	3531
301	721
307	1757
308	783
31	2326
3100	528
315	763
3158	788
32	6290
32.exe	794
320	2221
321	622
3230	1889
3250	2340
33	1647
333	704
34	1182
35	2920
350	1906
356	1077
358	810
36	2004
360	3118
363	833
363x	515
365	28042
365.com	2351
365x	7249
365x.com	3562
365x.us	1653
37	1988
3721	7101
3721.com	601
38	3279
380	579
386	692
39	2375
398	1487
3c	888
3d	26379
3dmax	812
3ds	1412
3g	2531
3gp	15817
3i	1352
3m	708
3p	3013
3s	747
3xbook	917
4.0	2366
4.1	588
4.2	693
40	3324
400	2193
4000	1247
41	904
419	630
42	1620
43	888
430	539
4399	10943
4399.com	3743
44	1492
4479	760
45	1419
456	710
46	643
47	1170
48	1190
49	598
4s	2199
4u	1566
4y	1340
4you	1886
5.0	3286
5.1	637
5.5	536
50	5356
500	6207
5000	741
501	701
505	797
508	1111
50888	680
51	19261
51.com	5481
510	626
512	607
5151	626
516	884
518	582
5184	1283
5184.com	540
5188	574
51job	1612
51job.com	1167
52	4573
520	4424
520.com	800
521	1050
52592	760
528	1454
53	890
530	1555
530.com	527
54	1302
5460	2378
5460.net	512
55	2834
550	985
550011	602
550022	2008
550022.com	1073
555	806
55508	888
5566	3862
56	2149
56.com	699
560	506
568	541
57	736
58	1450
588	732
59	667
5a5e	647
5e	659
5q	762
5s	891
6.0	8358
6.5	1059
60	4953
600	2366
6000	543
601	3463
6030	577
608	1362
61	1403
6111	609
6131	631
62	567
620	841
6270	965
6280	558
63	616
630	794
64	773
65	1103
650	855
654123	713
66	2025
6600	1013
6621	1727
6621.com	1066
6630	501
666	1919
6670	537
668	681
6681	858
67	1158
68	980
680	2922
680i	1384
6mm	1505
6mm.com	874
7.0	7084
7.1	835
7.5	1882
70	6105
700	1843
708	607
71	1273
72	2515
728	507
73	1635
7360	518
74	697
75	963
750	1643
760	517
7610	1712
768	714
77	55784
77.biz	698
77.com	4799
770	696
773	628
7744	590
777	12051
777.com	538
777.info	837
777.us	644
779779	540
78	1131
780	1354
79	1106
7en	914
7k	1457
7k.com	1120
7k7k	1439
7k7k.com	1119
7se	946
7se.com	515
7sese	735
7t.com	571
7t7t.com	561
8.0	5571
8.com	3512
80	4428
800	3937
8000	710
808	1009
81	1773
810	819
818	949
82	773
820	561
828	2025
83	885
830	736
838	663
84	575
85	1660
850	618
86	2704
863863	1713
863863.com	555
865	506
8686886	983
87	655
88	7225
88.com	1773
8800	634
8812345	978
888	2437
888.com	566
8888	526
89	766
89.com	501
8k	662
9.0	4781
9.0c	1099
90	2853
900	2884
9000	1174
9001	505
903	635
9070	557
908	1064
91	3263
911	1534
92	2258
920	893
93	1810
930	588
94	1128
95	2680
95599	831
96	2184
97	6705
98	17234
98bb	10280
99	13287
99.com	1083
990	523
998	941
999	4042
999.com	532
9991	2426
9991.com	969
9999	710
999se	585
9you	730
9you.com	1071
a1200	1026
a3	550
a4	752
a4u	1099
a4y	1319
a5	568
a516	583
a5e	1064
