00	1751
001	1110
00568	702
006	336
007	3764
007.com	761
008	311
01	2396
01.jpg	358
010	318
02	1440
020	354
03	1580
04	1228
05	3920
06	21189
06-040	641
07	2789
0755	302
08	1200
09	340
1.0	2927
1.08	973
1.1	775
1.10	887
1.11	343
1.18	379
1.2	736
1.20	778
1.3	1020
1.4	885
1.5	6046
1.6	6049
1.6l	421
1.7	1227
1.75	3047
1.8	1818
1.85	778
1.8t	370
1.com	310
10	14481
10.0	751
10.5	459
100	11730
100.com	761
1000	4745
10000	3097
1001	496
101	1384
1010	403
102	365
1024	699
103	451
104	605
105	476
107	438
108	949
109	322
10qq	1045
11	10025
110	2767
110.com	900
1100	332
111	842
1110	414
112	513
1122	337
113	400
114	1636
115	398
116	469
118	947
1188	1080
1188dy	791
119	410
1195075054	431
12	7270
120	2391
1200	1956
121	443
1213	392
122	453
123	38439
123.	302
123.cn	356
123.com	11083
12333	962
1234	343
12345	301
123com	451
125	1953
12530	6117
12530.com	1290
126	28627
126.com	12165
128	1681
1280	320
13	3016
130	476
1314	370
133	400
135	328
138	692
139	2373
139.com	599
14	2843
15	3430
150	1584
1500	348
158	373
16	5295
160	1511
1600	748
163	55319
163.	576
163.com	21375
163.com.	1441
163.net	699
165	1204
165.com	557
168	5806
168.com	1718
16dy	324
17	4823
170	680
17173	4269
17173.com	1874
173	528
176	3054
178	655
18	74540
18.com	3167
180	695
1818	345
183	19413
183club	14801
1860	984
188	822
188.com	387
189	309
18book	322
18dy	22115
18dy.com	5670
18dy.con	392
18girl	2546
18girls	626
18huang	713
18jj.net	413
18ok	1070
18p2p	510
19	4312
190	410
193	390
1937	863
1942	317
1956	415
196	452
1976	399
1983	496
1984	482
1986	306
1987	342
1989	379
199	409
1990	331
1992	311
1994	411
1995	785
1996	782
1997	988
1998	885
1999	1143
1g	581
2-	549
2.0	6257
2.0l	391
2.1	764
2.2	612
2.3	350
2.4	683
2.5	1735
2.6	327
2.7	408
2.8	667
2.com	303
20	5965
200	3222
2000	14719
2001	2559
2002	6298
2003	15956
2004	12697
2005	38830
2005qq	319
2006	183907
20061	553
20064	400
20066	432
2006qq	1249
2007	10198
2008	6013
2009	24745
201	456
2020	1115
2046	653
206	1428
208	491
21	9373
21.edu.cn	383
210	448
2100	429
211	627
214	1844
218	398
21cn	988
21cn.com	1396
22	3804
220	3616
222	664
2233	377
23	4693
230	556
232	490
2338	458
2338.com	339
234	557
2368	391
24	4204
240	1204
247	707
25	3845
250	1601
2500	458
253888	1732
253888.com	796
256	776
258	587
26	1735
260	366
261	394
2610	311
263	3485
263.com	345
263.net	433
265	4014
265.com	1315
27	1603
28	1650
280	481
281	525
29	1717
2b	301
2d	454
2m	329
2p	1838
3-	332
3.	875
3.0	3965
3.1	1602
3.2	597
3.5	672
3.8	425
3.9	336
3.com	601
30	5815
300	3354
3000	3531
301	721
303	331
304	361
307	1757
308	783
31	2326
310	420
3100	528
315	763
3158	788
3158.cn	323
318	326
319	350
32	6290
32.exe	794
320	2221
321	622
3230	1889
3250	2340
328	413
33	1647
330	425
333	704
338	328
34	1182
345	403
35	2920
350	1906
350d	401
356	1077
358	810
36	2004
360	3118
360.com	313
361	383
363	833
363x	515
365	28042
365.com	2351
365x	7249
365x.com	3562
365x.us	1653
368	458
37	1988
3721	7101
3721.com	601
38	3279
380	579
3839	413
386	692
39	2375
398	1487
3a	365
3b	497
3c	888
3d	26379
3dj	317
3dmax	812
3ds	1412
3g	2531
3gp	15817
3gpp	339
3i	1352
3m	708
3p	3013
3pg	374
3s	747
3x	301
3xbook	917
4.0	2366
4.1	588
4.2	693
4.5	360
40	3324
400	2193
4000	1247
407	336
407716671	328
41	904
419	630
42	1620
420	383
43	888
430	539
4399	10943
4399.com	3743
44	1492
441122	459
442233	473
4479	760
45	1419
456	710
45666	383
46	643
47	1170
48	1190
49	598
4a	473
4p	412
4s	2199
4u	1566
4y	1340
4you	1886
4you.com	437
5.0	3286
5.1	637
5.2	326
5.5	536
5.com	332
50	5356
500	6207
5000	741
501	701
505	797
508	1111
50888	680
51	19261
51.com	5481
510	626
511	429
512	607
5151	626
516	884
5173	368
518	582
5184	1283
5184.com	540
5188	574
51dy	329
51job	1612
51job.com	1167
51xcn	387
52	4573
520	4424
520.5252	330
520.com	800
5200	321
521	1050
525	446
52592	760
528	1454
53	890
530	1555
530.com	527
54	1302
540	405
54328	345
5460	2378
5460.net	512
55	2834
550	985
550011	602
550022	2008
550022.com	1073
555	806
55508	888
55508.com	331
5566	3862
5566.net	423
56	2149
56.com	699
560	506
568	541
57	736
570	334
58	1450
585	335
588	732
59	667
592	344
597221	434
597221.net	377
5a5e	647
5a5e.com	407
5e	659
5e.com	410
5mmmm	484
5mmmm.com	308
5q	762
5s	891
6.0	8358
6.5	1059
6.com	331
60	4953
600	2366
6000	543
601	3463
